Year,Month,Total_Sales,Avg_Sales,Order_count,Customer_count,Lag_1,Lag_2,Lag_3,Rolling_3,Mom_1,Mom_3,Growth_rate,Quarter,Month_Sin,Month_Cos,Is_Holiday_Month,Is_Quarter_END
2015,4,27906.855,214.6681153846154,63,61,55205.797,4519.892,14205.707,24643.79866666667,-27298.942,13701.148,-49.44941198838231,2,0.8660254037844387,-0.4999999999999998,0,0
2015,5,23644.303,195.40746280991735,68,66,27906.855,55205.797,4519.892,29210.847999999998,-4262.552,19124.411,-15.274211300413466,2,0.49999999999999994,-0.8660254037844387,0,0
2015,6,34322.9356,262.0071419847328,64,61,23644.303,27906.855,55205.797,35585.651666666665,10678.632599999997,-20882.8614,45.163659931104746,2,1.2246467991473532e-16,-1.0,0,1
2015,7,33781.543,237.89819014084506,64,64,34322.9356,23644.303,27906.855,28624.697866666666,-541.3925999999992,5874.687999999998,-1.5773493453747567,3,-0.4999999999999997,-0.8660254037844388,0,0
2015,8,27117.5365,185.736551369863,70,68,33781.543,34322.9356,23644.303,30582.927199999995,-6664.0064999999995,3473.2334999999985,-19.72676766126402,3,-0.8660254037844384,-0.5000000000000004,0,0
2015,9,81623.5268,305.70609288389517,129,117,27117.5365,33781.543,34322.9356,31740.671699999995,54505.990300000005,47300.59120000001,200.99904834644553,3,-1.0,-1.8369701987210297e-16,0,1
2015,10,31453.393,197.8200817610063,78,75,81623.5268,27117.5365,33781.543,47507.53543333333,-50170.13380000001,-2328.149999999998,-61.465285521085825,4,-0.8660254037844386,0.5000000000000001,0,0
2015,11,77907.66070000001,254.6001983660131,145,133,31453.393,81623.5268,27117.5365,46731.48543333333,46454.26770000001,50790.124200000006,147.69238949832857,4,-0.5000000000000004,0.8660254037844384,1,0
2015,12,68167.0585,248.78488503649635,139,132,77907.66070000001,31453.393,81623.5268,63661.52683333334,-9740.602200000008,-13456.468300000008,-12.502752762027173,4,-2.4492935982947064e-16,1.0,1,1
2016,1,18066.9576,316.96416842105265,29,28,68167.0585,77907.66070000001,31453.393,59176.0374,-50100.1009,-13386.435399999998,-73.49605807033612,1,0.49999999999999994,0.8660254037844387,1,0
2016,2,11951.411,186.740796875,36,36,18066.9576,68167.0585,77907.66070000001,54713.89226666666,-6115.5466000000015,-65956.24970000001,-33.84934384303864,1,0.8660254037844386,0.5000000000000001,0,0
2016,3,32339.3184,252.650925,75,74,11951.411,18066.9576,68167.0585,32728.4757,20387.9074,-35827.740099999995,170.58996130247718,1,1.0,6.123233995736766e-17,0,1
2016,4,34154.4685,214.8079779874214,71,68,32339.3184,11951.411,18066.9576,20785.895666666667,1815.1501000000026,16087.510900000001,5.612827325389772,2,0.8660254037844387,-0.4999999999999998,0,0
2016,5,29959.5305,209.5072062937063,72,67,34154.4685,32339.3184,11951.411,26148.3993,-4194.938000000002,18008.1195,-12.282252320805407,2,0.49999999999999994,-0.8660254037844387,0,0
2016,6,23599.374,182.94088372093023,66,66,29959.5305,34154.4685,32339.3184,32151.105800000005,-6360.156500000001,-8739.9444,-21.22915944894397,2,1.2246467991473532e-16,-1.0,0,1
2016,7,28608.259000000002,210.35484558823532,64,62,23599.374,29959.5305,34154.4685,29237.791,5008.885000000002,-5546.209500000001,21.224651975938013,3,-0.4999999999999997,-0.8660254037844388,0,0
2016,8,36818.3422,233.02748227848102,67,63,28608.259000000002,23599.374,29959.5305,27389.054500000002,8210.083199999997,6858.811699999998,28.698297229481867,3,-0.8660254037844384,-0.5000000000000004,0,0
